#------------------------------------------------------------------------
# Program: Diag Quadratic
#          (c) Amal Medhi <amedhi@iisertvm.ac.in>
#------------------------------------------------------------------------
# job_71954_diag.x_20260122170524_amedhi@isha.local
# Lattice: HONEYCOMB2 (Size = 1x100x1, Sites/unitcell = 100, Boundary = 0-1-0)
# No of sites = 10000
# Model: MKM
# lambda = 0.060000
# eta = 0.250000
# lambda_R = 0.840000
# t = 1.000000
# Results: WaveFunction
#------------------------------------------------------------------------
# wf_0:   psi(25,98,0)        cols: (6,7)
# wf_1:   psi(25,99,0)        cols: (8,9)
# wf_2:   psi(25,100,0)       cols: (10,11)
# wf_3:   psi(25,101,0)       cols: (12,13)
# wf_4:   psi(49,98,0)        cols: (14,15)
# wf_5:   psi(49,99,0)        cols: (16,17)
# wf_6:   psi(49,100,0)       cols: (18,19)
# wf_7:   psi(49,101,0)       cols: (20,21)
#------------------------------------------------------------------------
# basis   label   xcoord        ycoord        zcoord        Re[wf_1]      Im[wf_1]      Re[wf_2]      Im[wf_2]      Re[wf_3]      Im[wf_3]      Re[wf_4]      Im[wf_4]      Re[wf_5]      Im[wf_5]      Re[wf_6]      Im[wf_6]      Re[wf_7]      Im[wf_7]      Re[wf_8]      Im[wf_8]      
#------------------------------------------------------------------------
       0     0-0  0.000000E+00  0.000000E+00  0.000000E+00  1.831823E-02  0.000000E+00 -1.788680E-01 -0.000000E+00  1.788599E-01  0.000000E+00  1.710141E-02 -0.000000E+00  8.745622E-03  0.000000E+00 -4.437614E-03  0.000000E+00 -5.078915E-03  0.000000E+00 -9.962497E-03 -0.000000E+00
       1     0-1  0.000000E+00  0.000000E+00  0.000000E+00 -4.781889E-03  3.865803E-02  4.776282E-02 -3.713188E-01 -4.776169E-02  3.713010E-01 -8.075476E-03  3.247094E-02  2.660317E-02  1.927614E-02 -1.349683E-02 -9.748864E-03 -1.579302E-02 -9.873163E-03 -3.100091E-02 -1.958486E-02
       2     1-0  8.660254E-01 -5.000000E-01  0.000000E+00  2.843649E-03  6.417165E-03 -4.768315E-02  3.727884E-02  4.768255E-02 -3.728575E-02  7.356626E-03 -1.487333E-02 -1.282562E-02  5.760191E-03  6.398506E-03 -2.884364E-03 -8.427618E-03  4.323130E-03 -1.682838E-02  8.548139E-03
       3     1-1  8.660254E-01 -5.000000E-01  0.000000E+00 -6.648009E-03 -4.663262E-04  2.806204E-02 -3.396291E-02 -2.805751E-02  3.396459E-02  1.395600E-03  7.806746E-03 -4.369075E-03 -2.724593E-03  2.193635E-03  1.373867E-03 -1.946639E-03  5.676827E-04 -3.895462E-03  1.047838E-03
       4     2-0  8.660254E-01 -1.500000E+00  0.000000E+00 -1.474750E-02 -1.049868E-03  1.372705E-01  3.624648E-03 -1.372629E-01 -3.623769E-03 -8.840027E-03  7.543561E-04  6.767722E-04 -1.334226E-02 -3.479818E-04  6.809036E-03 -1.340692E-03  7.188236E-03 -2.742853E-03  1.405806E-02
       5     2-1  8.660254E-01 -1.500000E+00  0.000000E+00  6.426595E-03 -2.928302E-02 -3.614786E-02  2.972993E-01  3.614420E-02 -2.972849E-01  9.760180E-04 -2.314871E-02  3.123173E-02 -3.647318E-02 -1.591977E-02  1.864055E-02 -1.619030E-02  2.074101E-02 -3.178033E-02  4.034565E-02
       6     3-0  1.732051E+00 -2.000000E+00  0.000000E+00  2.838425E-03 -1.623878E-02  2.825872E-02 -7.959732E-03 -2.826096E-02  7.974108E-03 -5.833591E-03  1.862654E-02  9.861638E-03  2.831349E-02 -4.972506E-03 -1.421612E-02  6.125291E-03  1.626585E-02  1.198156E-02  3.229669E-02
       7     3-1  1.732051E+00 -2.000000E+00  0.000000E+00  7.940267E-03  3.950901E-03 -4.245808E-03  7.039557E-04  4.238524E-03 -7.068078E-04 -9.644704E-03 -2.822936E-03 -4.718474E-03  8.390817E-03  2.398740E-03 -4.233312E-03  5.881014E-04  4.119139E-03  1.107025E-03  8.207485E-03
       8     4-0  1.732051E+00 -3.000000E+00  0.000000E+00  1.110265E-02  1.950147E-03 -1.157856E-01 -6.530654E-03  1.157793E-01  6.528577E-03  7.178483E-03 -2.506440E-03 -1.747501E-02 -1.886946E-03  9.027593E-03  9.902375E-04  8.662595E-03  2.656336E-03  1.656761E-02  5.173744E-03
       9     4-1  1.732051E+00 -3.000000E+00  0.000000E+00 -7.457272E-03  1.946643E-02  4.319155E-02 -2.408949E-01 -4.318672E-02  2.408843E-01 -1.365241E-03  1.597376E-02 -4.411644E-02 -4.455344E-02  2.282099E-02  2.299304E-02  2.453700E-02  2.379993E-02  4.710912E-02  4.613444E-02
      10     5-0  2.598076E+00 -3.500000E+00  0.000000E+00 -7.889988E-03  2.359006E-02 -3.304879E-02  1.812599E-02  3.305429E-02 -1.814868E-02  9.069225E-03 -3.037356E-02  4.395697E-02 -1.139872E-02 -2.227802E-02  5.802740E-03  2.444334E-02 -6.441053E-03  4.805732E-02 -1.244429E-02
      11     5-1  2.598076E+00 -3.500000E+00  0.000000E+00 -1.188060E-02 -6.012082E-03  1.919115E-02 -1.502954E-02 -1.918028E-02  1.503453E-02  1.108461E-02  7.233228E-03  1.199394E-02  7.587648E-03 -6.102134E-03 -3.887782E-03  6.165010E-03  4.609642E-04  1.214630E-02  1.142794E-03
      12     6-0  2.598076E+00 -4.500000E+00  0.000000E+00 -7.322885E-03 -2.269338E-03  8.994922E-02  8.064513E-03 -8.994340E-02 -8.061507E-03 -4.526695E-06  3.790931E-03 -3.803148E-03  2.139657E-02  2.024269E-03 -1.121797E-02  4.580546E-03 -1.029013E-02  8.850939E-03 -1.948482E-02
      13     6-1  2.598076E+00 -4.500000E+00  0.000000E+00  6.830061E-03 -9.586946E-03 -3.768950E-02  1.926802E-01  3.768311E-02 -1.926729E-01 -3.363731E-03 -7.404629E-03 -5.850285E-02  4.914015E-02  3.070299E-02 -2.584290E-02  3.213884E-02 -2.669848E-02  6.115794E-02 -5.029038E-02
      14     7-0  3.464102E+00 -5.000000E+00  0.000000E+00  1.552606E-02 -3.083943E-02  1.920088E-02 -6.778920E-03 -1.921057E-02  6.810277E-03 -6.747929E-03  3.654598E-02 -1.026049E-02 -5.933875E-02  5.297854E-03  3.046041E-02 -4.878443E-03 -3.274568E-02 -9.124084E-03 -6.352079E-02
      15     7-1  3.464102E+00 -5.000000E+00  0.000000E+00  1.327848E-02  9.286612E-03 -3.969847E-03  3.999175E-03  3.955229E-03 -4.006154E-03 -1.906239E-02 -4.940002E-03  1.070043E-02 -1.493787E-02 -5.566223E-03  7.695526E-03  1.370842E-03 -7.979270E-03  2.815691E-03 -1.546997E-02
      16     8-0  3.464102E+00 -6.000000E+00  0.000000E+00  3.581657E-03  2.024377E-03 -7.450413E-02 -9.736100E-03  7.449922E-02  9.732264E-03 -3.024578E-03 -4.253576E-03  2.463030E-02  6.248263E-03 -1.317625E-02 -3.393518E-03 -1.113901E-02 -6.660205E-03 -2.039036E-02 -1.248359E-02
      17     8-1  3.464102E+00 -6.000000E+00  0.000000E+00 -4.803751E-03 -5.538966E-05  3.847592E-02 -1.543996E-01 -3.846886E-02  1.543955E-01  3.291856E-03 -1.123891E-03  5.150984E-02  7.262726E-02 -2.765314E-02 -3.891884E-02 -2.732823E-02 -4.110134E-02 -5.036453E-02 -7.656135E-02
      18     9-0  4.330127E+00 -6.500000E+00  0.000000E+00 -2.318156E-02  3.658047E-02 -2.169379E-02  8.467381E-03  2.170894E-02 -8.508868E-03  8.698941E-03 -4.605385E-02 -7.380327E-02  6.628417E-03  3.852228E-02 -3.490759E-03 -4.071566E-02  1.731032E-03 -7.757117E-02  2.930925E-03
      19     9-1  4.330127E+00 -6.500000E+00  0.000000E+00 -1.561415E-02 -1.261637E-02  1.197813E-02 -6.625012E-03 -1.195937E-02  6.635086E-03  2.104077E-02  6.430182E-03 -1.730172E-02 -1.434184E-02  9.050700E-03  7.583656E-03 -9.728413E-03 -3.156997E-03 -1.857876E-02 -6.420873E-03
      20    10-0  4.330127E+00 -7.500000E+00  0.000000E+00  9.263801E-05 -1.194776E-03  5.858507E-02  9.251159E-03 -5.858056E-02 -9.246384E-03  9.212839E-03  5.497248E-03  9.131690E-03 -2.736612E-02 -5.081273E-03  1.498067E-02 -9.030910E-03  1.200487E-02 -1.649974E-02  2.158747E-02
      21    10-1  4.330127E+00 -7.500000E+00  0.000000E+00  1.258223E-03  9.267516E-03 -3.370404E-02  1.239382E-01  3.369605E-02 -1.239373E-01 -6.198911E-03  9.243371E-03  8.631035E-02 -5.115858E-02 -4.743195E-02  2.816152E-02 -5.028705E-02  2.610606E-02 -9.123263E-02  4.672519E-02
      22    11-0  5.196152E+00 -8.000000E+00  0.000000E+00  3.233370E-02 -4.117384E-02  1.342857E-02 -4.629940E-03 -1.345049E-02  4.682798E-03 -6.153037E-03  5.333987E-02  6.676046E-04  8.694054E-02 -3.865516E-04 -4.631919E-02 -3.167067E-03  4.824195E-02 -6.397046E-03  8.998684E-02
      23    11-1  5.196152E+00 -8.000000E+00  0.000000E+00  1.650978E-02  1.619616E-02 -3.824634E-03  3.759042E-03  3.800874E-03 -3.772634E-03 -2.803578E-02 -5.407682E-03 -1.805151E-02  1.882619E-02  9.758080E-03 -1.004609E-02 -4.889198E-03  1.094689E-02 -9.432329E-03  2.032117E-02
      24    12-0  5.196152E+00 -9.000000E+00  0.000000E+00 -3.585585E-03 -1.769445E-04 -4.778975E-02 -9.725514E-03  4.778579E-02  9.719841E-03 -1.312952E-02 -5.266001E-03 -2.927412E-02 -1.234039E-02  1.648450E-02  7.063369E-03  1.206378E-02  1.159823E-02  2.072435E-02  2.053721E-02
      25    12-1  5.196152E+00 -9.000000E+00  0.000000E+00  3.620173E-03 -1.784647E-02  3.175157E-02 -9.866407E-02 -3.174304E-02  9.866632E-02  6.146966E-03 -1.822621E-02 -4.826792E-02 -9.905526E-02  2.736224E-02  5.607234E-02  2.322812E-02  5.944501E-02  4.026279E-02  1.046210E-01
