#------------------------------------------------------------------------
# Program: Diag Quadratic
#          (c) Amal Medhi <amedhi@iisertvm.ac.in>
#------------------------------------------------------------------------
# job_70632_diag.x_20260122160527_amedhi@isha.local
# Lattice: HONEYCOMB2 (Size = 1x100x1, Sites/unitcell = 100, Boundary = 0-1-0)
# No of sites = 10000
# Model: MKM
# lambda = 0.060000
# eta = 1.000000
# lambda_R = 0.000000
# t = 1.000000
# Results: WaveFunction
#------------------------------------------------------------------------
# wf_0:   psi(40,98,0)        cols: (6,7)
# wf_1:   psi(40,99,0)        cols: (8,9)
# wf_2:   psi(40,100,0)       cols: (10,11)
# wf_3:   psi(40,101,0)       cols: (12,13)
# wf_4:   psi(49,98,0)        cols: (14,15)
# wf_5:   psi(49,99,0)        cols: (16,17)
# wf_6:   psi(49,100,0)       cols: (18,19)
# wf_7:   psi(49,101,0)       cols: (20,21)
#------------------------------------------------------------------------
# basis   label   xcoord        ycoord        zcoord        Re[wf_1]      Im[wf_1]      Re[wf_2]      Im[wf_2]      Re[wf_3]      Im[wf_3]      Re[wf_4]      Im[wf_4]      Re[wf_5]      Im[wf_5]      Re[wf_6]      Im[wf_6]      Re[wf_7]      Im[wf_7]      Re[wf_8]      Im[wf_8]      
#------------------------------------------------------------------------
       0     0-0  0.000000E+00  0.000000E+00  0.000000E+00 -1.350137E-13  0.000000E+00  8.149421E-01  0.000000E+00 -2.859883E-13 -0.000000E+00 -2.013432E-14 -0.000000E+00 -6.267823E-18  0.000000E+00 -9.913283E-01  0.000000E+00 -4.270517E-16 -0.000000E+00 -5.066515E-18  0.000000E+00
       1     0-1  0.000000E+00  0.000000E+00  0.000000E+00 -2.280218E-13 -1.741158E-13 -8.772958E-17 -3.127179E-16  1.432165E-02 -5.568297E-02 -2.088873E-01  7.856151E-01 -2.928519E-17 -1.403622E-17 -4.020702E-16 -1.430591E-16  9.362437E-01  3.258520E-01  7.921448E-18  8.735643E-19
       2     1-0  8.660254E-01 -5.000000E-01  0.000000E+00 -4.708858E-15 -1.446520E-14  2.837576E-02  8.733160E-02  5.142872E-14  1.582540E-13  3.589485E-15  1.106963E-14 -9.106155E-20 -5.503642E-17 -3.682526E-03 -1.171799E-01 -4.452701E-17 -5.591366E-17  2.812931E-18  9.943996E-18
       3     1-1  8.660254E-01 -5.000000E-01  0.000000E+00  5.553941E-14 -1.573070E-13  1.107112E-16  5.033146E-17 -6.465823E-03  4.040948E-04  9.146215E-02 -4.969634E-03  6.945353E-17 -6.415897E-17 -1.566984E-17  4.876342E-17  3.503941E-02 -1.118791E-01 -1.366004E-17  7.047851E-18
       4     2-0  8.660254E-01 -1.500000E+00  0.000000E+00  2.417333E-14  7.438426E-14 -1.459085E-01 -4.490601E-01  6.341994E-14  1.950946E-13  4.446970E-15  1.385833E-14  1.242556E-18  3.556472E-17  1.821628E-03  5.796514E-02 -3.320227E-17 -7.746730E-17  2.646028E-18  7.806681E-18
       5     2-1  8.660254E-01 -1.500000E+00  0.000000E+00 -6.841722E-14  1.944499E-13 -8.577214E-17  5.745624E-17 -3.324734E-02  2.077860E-03  4.702995E-01 -2.555392E-02  2.305781E-17  8.566886E-17 -8.445394E-18  2.570149E-17  1.733288E-02 -5.534300E-02 -7.314901E-19 -1.067764E-16
       6     3-0  1.732051E+00 -2.000000E+00  0.000000E+00 -7.123765E-15  5.187243E-15  4.304217E-02 -3.127197E-02  3.630975E-13 -2.637804E-13  2.567809E-14 -1.825643E-14 -3.017882E-19 -6.490322E-18 -6.844998E-03  4.306507E-04  8.815816E-17 -9.189171E-17 -8.101637E-17  4.802512E-21
       7     3-1  1.732051E+00 -2.000000E+00  0.000000E+00 -4.498325E-13 -1.139715E-14  4.686155E-17 -4.467040E-17  1.380320E-03  3.490533E-03 -1.911396E-02 -4.950891E-02  3.117951E-17 -4.674762E-17  2.885756E-18  8.547346E-19 -6.606201E-03 -1.843246E-03  1.273490E-16  8.619005E-17
       8     4-0  1.732051E+00 -3.000000E+00  0.000000E+00  3.528546E-14 -2.564056E-14 -2.129527E-01  1.547192E-01  1.508781E-13 -1.096893E-13  1.067494E-14 -7.696872E-15 -1.562234E-17 -8.481964E-19 -1.045156E-02  6.575562E-04 -1.365455E-16  1.245352E-16 -4.501072E-17  1.027716E-18
       9     4-1  1.732051E+00 -3.000000E+00  0.000000E+00  1.872670E-13  4.940288E-15  1.689448E-16  9.108244E-17  6.829184E-03  1.726954E-02 -9.456698E-02 -2.449471E-01 -4.527879E-17  5.301524E-17 -4.163724E-18 -1.190602E-18  1.008694E-02  2.814434E-03 -5.906147E-17 -6.590204E-17
      10     5-0  2.598076E+00 -3.500000E+00  0.000000E+00  3.960369E-15  2.879981E-15 -2.399504E-02 -1.743341E-02 -7.208003E-13 -5.237104E-13 -5.051543E-14 -3.732758E-14  5.742522E-18 -4.202460E-17 -1.165512E-04 -1.232983E-03  6.699073E-17  9.596739E-17  7.469296E-18  4.339218E-17
      11     5-1  2.598076E+00 -3.500000E+00  0.000000E+00  2.541288E-13  8.562473E-13  5.183255E-17 -4.774312E-17  1.612867E-03 -1.333150E-03 -2.295649E-02  1.866298E-02 -1.247468E-17  3.067689E-17 -1.322001E-19  5.234322E-19  2.952096E-04 -1.202781E-03 -9.938586E-17  9.173614E-17
      12     6-0  2.598076E+00 -4.500000E+00  0.000000E+00 -1.965110E-14 -1.426466E-14  1.185329E-01  8.611917E-02 -1.890806E-13 -1.373430E-13 -1.332223E-14 -9.865263E-15  3.833602E-19  4.801977E-18  1.339866E-04  1.417430E-03  1.472231E-16  5.029149E-19 -4.812640E-18 -5.403824E-17
      13     6-1  2.598076E+00 -4.500000E+00  0.000000E+00 -6.687068E-14 -2.247536E-13 -5.730662E-17 -1.476411E-16  7.967385E-03 -6.585614E-03 -1.134026E-01  9.219306E-02  2.823438E-17  3.829704E-17 -1.578769E-19  6.114697E-19  3.393712E-04 -1.382710E-03 -2.383868E-17 -5.724698E-17
      14     7-0  3.464102E+00 -5.000000E+00  0.000000E+00  8.443041E-16 -2.576666E-15 -5.101546E-03  1.570095E-02 -5.091419E-13  1.567281E-12 -3.680161E-14  1.102667E-13  1.943376E-17  3.447879E-19 -1.670494E-04  2.110325E-05  8.211965E-17 -1.078830E-16  2.771938E-17 -3.789119E-18
      15     7-1  3.464102E+00 -5.000000E+00  0.000000E+00  1.360748E-12 -9.364511E-13  5.839983E-17 -1.668600E-17 -9.831530E-04 -6.245017E-04  1.382828E-02  8.942450E-03  7.756145E-17  6.176239E-17  7.182109E-20  1.617073E-20 -1.647038E-04 -3.497894E-05  6.709283E-17 -1.015669E-17
      16     8-0  3.464102E+00 -6.000000E+00  0.000000E+00 -4.188527E-15  1.289624E-14  2.519949E-02 -7.755605E-02 -1.122441E-13  3.455465E-13 -8.266763E-15  2.463322E-14  3.153729E-17  5.324570E-18 -6.267763E-05  7.918026E-06  6.268116E-17 -3.385407E-17 -4.569597E-17  1.748319E-17
      17     8-1  3.464102E+00 -6.000000E+00  0.000000E+00 -2.999189E-13  2.064993E-13 -1.577294E-16 -1.302748E-16 -4.856361E-03 -3.084775E-03  6.830589E-02  4.417193E-02  6.391073E-17  8.576007E-17 -2.312364E-20 -4.855662E-21  6.179753E-05  1.312424E-05 -5.555115E-17 -6.926192E-17
