#------------------------------------------------------------------------
# Program: Diag Quadratic
#          (c) Amal Medhi <amedhi@iisertvm.ac.in>
#------------------------------------------------------------------------
# job_72176_diag.x_20260122172037_amedhi@isha.local
# Lattice: HONEYCOMB2 (Size = 1x100x1, Sites/unitcell = 100, Boundary = 0-1-0)
# No of sites = 10000
# Model: MKM
# lambda = 0.060000
# eta = 0.600000
# lambda_R = 0.840000
# t = 1.000000
# Results: WaveFunction
#------------------------------------------------------------------------
# wf_0:   psi(25,98,0)        cols: (6,7)
# wf_1:   psi(25,99,0)        cols: (8,9)
# wf_2:   psi(25,100,0)       cols: (10,11)
# wf_3:   psi(25,101,0)       cols: (12,13)
# wf_4:   psi(49,98,0)        cols: (14,15)
# wf_5:   psi(49,99,0)        cols: (16,17)
# wf_6:   psi(49,100,0)       cols: (18,19)
# wf_7:   psi(49,101,0)       cols: (20,21)
#------------------------------------------------------------------------
# basis   label   xcoord        ycoord        zcoord        Re[wf_1]      Im[wf_1]      Re[wf_2]      Im[wf_2]      Re[wf_3]      Im[wf_3]      Re[wf_4]      Im[wf_4]      Re[wf_5]      Im[wf_5]      Re[wf_6]      Im[wf_6]      Re[wf_7]      Im[wf_7]      Re[wf_8]      Im[wf_8]      
#------------------------------------------------------------------------
       0     0-0  0.000000E+00  0.000000E+00  0.000000E+00 -1.495747E-01  0.000000E+00  1.567319E-01  0.000000E+00 -9.853171E-02  0.000000E+00 -1.558460E-01  0.000000E+00 -2.330836E-02  0.000000E+00  7.025898E-03  0.000000E+00  2.533498E-02  0.000000E+00  4.880042E-02 -0.000000E+00
       1     0-1  0.000000E+00  0.000000E+00  0.000000E+00  1.750677E-01  1.326519E-03 -1.761742E-01  6.706693E-03  1.021319E-01 -5.194519E-02  1.111806E-01 -2.207813E-01  8.092518E-03 -1.174918E-03  2.314248E-02 -2.448627E-03 -9.856981E-03  2.076079E-03 -1.908114E-02  4.050520E-03
       2     1-0  8.660254E-01 -5.000000E-01  0.000000E+00  2.123993E-02  2.635419E-02 -1.741429E-02 -3.164029E-02 -2.171466E-03  3.430904E-02 -1.578389E-02  6.695180E-02  1.465856E-03  7.445477E-04 -2.891065E-03  6.171346E-03  1.047505E-03  5.313642E-03  2.120186E-03  1.047153E-02
       3     1-1  8.660254E-01 -5.000000E-01  0.000000E+00 -1.431756E-02  5.945391E-03  1.361626E-02 -1.573925E-03 -4.090176E-03 -1.318004E-02  4.269145E-04 -3.674445E-02 -4.037335E-03 -5.272566E-03 -1.500923E-03  3.376591E-04 -5.290924E-03 -6.613078E-03 -1.054053E-02 -1.316146E-02
       4     2-0  8.660254E-01 -1.500000E+00  0.000000E+00 -9.403654E-02  7.104886E-02  9.295361E-02 -6.964279E-02 -2.513685E-02  3.845583E-02  6.026450E-02  2.993383E-02 -5.777318E-03 -3.034428E-02  7.301453E-04 -9.337956E-03  6.689376E-03  3.169893E-02  1.279801E-02  6.055106E-02
       5     2-1  8.660254E-01 -1.500000E+00  0.000000E+00  1.580354E-01 -3.852490E-02 -1.619621E-01  2.872296E-02  6.434132E-02  1.865681E-02  1.701409E-02  1.532195E-01  3.306637E-03  9.998965E-03  1.648358E-04 -3.085949E-02 -5.628736E-03 -1.195551E-02 -1.085021E-02 -2.286186E-02
       6     3-0  1.732051E+00 -2.000000E+00  0.000000E+00  3.610963E-03 -3.596273E-02 -1.133669E-02  2.919007E-02  2.377545E-02  6.987066E-03  5.502667E-02  1.287140E-02 -2.023623E-03  3.449605E-03  1.244221E-02  7.799768E-03 -7.421021E-03  3.944644E-03 -1.450375E-02  7.865732E-03
       7     3-1  1.732051E+00 -2.000000E+00  0.000000E+00  9.350123E-03  2.062093E-03 -5.759230E-03  6.564269E-04 -7.123029E-03 -1.490894E-02 -2.351907E-02 -2.472201E-02  9.672888E-03 -1.070832E-02  2.076155E-03  2.616783E-03  1.011790E-02 -1.211119E-02  2.008797E-02 -2.406123E-02
       8     4-0  1.732051E+00 -3.000000E+00  0.000000E+00 -5.747061E-02  1.149438E-01  6.283230E-02 -1.171166E-01 -4.203421E-02  5.379567E-02 -8.216246E-02  3.553071E-02  3.565190E-02 -1.417281E-02 -1.111846E-02 -1.950677E-03 -3.591735E-02  1.596942E-02 -6.758122E-02  3.011592E-02
       9     4-1  1.732051E+00 -3.000000E+00  0.000000E+00  7.991214E-02 -1.648000E-01 -8.382539E-02  1.716763E-01  4.562031E-02 -1.095562E-01  3.394341E-02 -1.933773E-01 -1.154311E-02  6.061732E-03 -3.826815E-02 -4.465359E-03  1.308248E-02 -1.014418E-02  2.475008E-02 -1.931790E-02
